Date Time,temperature,humidity,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8
2022-02-12 16:43:17,27.57,34.33,0,2,7,4,18,76,-4,-8
2022-02-12 16:43:25,27.59,34.35,-1,-1,7,-6,18,344,-3,-8
2022-02-12 16:43:33,27.55,34.52,-1,1,7,14,16,-26,0,-8
2022-02-12 16:43:42,27.54,34.46,0,2,6,8,15,-53,5,-8
2022-02-12 16:43:52,27.56,34.47,-1,-1,6,-6,17,333,-3,-8
2022-02-12 16:44:09,27.55,34.48,3,-2,7,-12,15,-239,4,-8
2022-02-12 16:44:17,27.41,34.4,-3,0,6,-5,14,614,-8,-10
2022-02-12 16:44:25,27.52,34.73,-7,2,9,6,13,158,-5,-10
2022-02-12 16:44:34,27.52,34.65,2,1,8,4,14,493,-6,-11
2022-02-12 16:44:42,27.54,34.6,3,1,7,3,12,-275,5,-10
2022-02-12 16:44:53,27.52,34.46,-6,2,6,15,12,-67,3,-10
2022-02-12 16:45:03,27.51,34.52,-4,1,8,9,12,115,-4,-10
2022-02-12 16:45:12,27.52,34.59,3,-2,7,-11,13,519,-6,-10
2022-02-12 16:45:20,27.5,34.58,-4,2,6,11,11,-110,2,-9
2022-02-12 16:45:36,27.51,34.63,-2,1,8,0,13,2065,-4,-10
2022-02-12 16:45:44,27.43,34.6,-1,-1,6,-6,12,551,-5,-9
2022-02-12 16:45:52,27.46,35.11,2,2,7,15,10,-20,0,-10
2022-02-12 16:46:00,27.46,34.58,-1,0,7,-5,13,-121,5,-10
2022-02-12 16:46:09,27.47,34.63,-1,-1,6,-6,12,139,0,-10
2022-02-12 16:46:17,27.43,35.14,1,-2,8,-2,13,904,-6,-10
2022-02-12 16:46:32,27.43,34.19,-4,-2,8,-6,12,-976,5,-9
2022-02-12 16:46:40,27.5,34.84,3,2,8,14,12,3,-3,-11
2022-02-12 16:46:48,27.46,34.59,-3,-1,7,-12,12,74,0,-10
2022-02-12 16:46:57,27.43,34.02,1,-1,8,-4,13,583,-5,-11
2022-02-12 16:47:08,27.42,34.13,-3,0,8,-7,13,-76,2,-10
2022-02-12 16:47:16,27.4,34.26,-5,-2,7,-3,12,494,-3,-10
2022-02-12 16:47:24,27.42,34.55,-2,-1,8,-6,11,-77,3,-9
2022-02-12 16:47:33,27.44,34.64,-4,-1,8,-3,12,-122,6,-9
2022-02-12 16:47:42,27.21,34.65,-4,-2,7,-4,12,373,-4,-9
2022-02-12 16:47:51,27.44,34.65,0,-2,8,-2,11,610,-6,-10
2022-02-12 16:48:00,27.45,34.64,1,-1,7,-1,12,539,-7,-10
2022-02-12 16:48:08,27.45,34.61,3,2,7,2,10,-103,2,-9
2022-02-12 16:48:16,27.34,34.66,2,2,6,7,10,-87,2,-9
2022-02-12 16:48:25,27.5,34.65,3,2,7,9,12,324,-5,-10
2022-02-12 16:48:33,27.46,34.67,-2,-2,7,-7,12,-36,3,-9
2022-02-12 16:48:41,27.51,34.93,-3,0,7,-4,12,220,0,-9
2022-02-12 16:48:50,27.52,34.54,-1,1,6,4,9,-205,5,-9
2022-02-12 16:48:58,27.44,34.42,2,1,8,8,10,68,-1,-10
2022-02-12 16:49:16,27.5,34.36,1,3,6,5,11,-182,3,-9
2022-02-12 16:49:24,27.37,34.51,-2,-3,7,-9,11,422,-4,-10
2022-02-12 16:49:41,27.31,34.48,0,0,9,14,11,15,-2,-10
2022-02-12 16:49:47,27.5,34.54,0,2,9,13,11,-92,2,-10
2022-02-12 16:49:58,27.37,34.51,-2,-1,10,-5,11,-159,5,-10
2022-02-12 16:50:12,27.47,34.56,-1,-3,9,-2,11,400,0,-10
2022-02-12 16:50:23,26.48,34.55,-4,0,10,-3,12,-290,5,-10
2022-02-12 16:50:34,27.42,34.6,-2,-1,9,-9,12,125,2,-10
2022-02-12 16:50:43,27.43,34.61,1,0,10,-3,12,518,-5,-12
2022-02-12 16:50:51,27.42,34.94,-1,0,10,-2,12,541,-6,-11
2022-02-12 16:51:00,27.33,34.91,4,1,9,6,12,-389,4,-11
2022-02-12 16:51:08,27.4,34.82,-3,-1,9,-12,12,388,-3,-10
2022-02-12 16:51:16,27.16,34.72,3,1,10,9,12,160,-3,-11
2022-02-12 16:51:25,27.39,34.78,-3,-3,9,-9,12,869,-5,-11
2022-02-12 16:51:33,27.38,34.96,0,0,9,9,11,-187,5,-10
2022-02-12 16:52:08,27.38,34.74,-3,-1,9,-6,12,-76,4,-11
2022-02-12 16:52:38,27.4,35.02,-1,0,10,6,12,-257,5,-12
2022-02-12 16:52:48,27.42,35,-2,-1,10,-4,12,1441,-5,-12
2022-02-12 16:52:56,27.43,34.93,1,1,11,10,13,158,-4,-12
2022-02-12 16:53:08,27.44,34.92,1,2,9,3,10,-180,6,-12
2022-02-12 16:53:20,27.43,35.59,-2,0,11,1,12,-697,5,-12
2022-02-12 16:53:30,27.47,35.13,2,1,11,3,12,19,-1,-12
2022-02-12 16:53:39,27.46,35.44,0,0,10,-4,12,424,-6,-6
2022-02-12 16:53:49,27.44,35.43,0,1,10,7,11,-165,4,-12
2022-02-12 16:53:57,27.15,35.18,0,2,10,8,11,-258,4,-11
2022-02-12 16:54:07,27.47,35.33,0,-1,11,-4,12,424,-6,-12
2022-02-12 16:54:16,27.41,35.94,0,-2,10,-11,13,704,-2,-11
2022-02-12 16:54:24,27.5,35.36,0,1,11,4,12,-190,1,-12
2022-02-12 16:54:33,27.48,35.94,1,-1,12,-1,13,463,-3,-13
2022-02-12 16:54:42,27.49,35.57,-2,-2,11,-4,13,380,-6,-13
2022-02-12 16:54:51,27.47,35.67,-1,1,12,7,12,-272,0,-13
2022-02-12 16:55:03,27.47,35.69,-2,-1,11,-6,13,706,-4,-12
2022-02-12 16:55:11,27.53,35.98,-2,0,11,-7,13,273,-4,-12
2022-02-12 16:55:19,27.52,35.99,0,2,12,-6,13,1,-2,-13
2022-02-12 16:55:28,27.59,36.31,1,0,12,-4,14,17,-1,-13
2022-02-12 16:55:36,27.58,35.63,0,1,13,5,14,81,1,-13
2022-02-12 16:55:44,27.56,35.54,1,0,14,8,14,122,1,-14
2022-02-12 16:55:57,27.59,35.75,-1,1,15,4,14,17,0,-15
2022-02-12 16:56:05,27.58,35.93,-2,2,16,5,15,40,1,-17
2022-02-12 16:56:14,27.56,35.7,0,0,15,-4,15,12,-1,-16
2022-02-12 16:56:27,27.55,35.49,0,-1,15,-4,15,53,1,-16
2022-02-12 16:56:40,27.55,35.56,0,2,14,8,14,-58,-1,-16
2022-02-12 16:56:48,27.53,35.64,-1,-1,16,0,15,77,1,-16
2022-02-12 16:56:57,27.54,35.69,1,2,16,3,15,27,2,-15
2022-02-12 16:57:22,27.52,35.76,-1,-1,17,5,16,127,2,-18
2022-02-12 16:57:30,27.51,35.78,1,0,17,2,17,163,1,-17
2022-02-12 16:57:39,27.53,35.75,0,0,17,3,17,13,-2,-17
2022-02-12 16:57:51,27.53,35.72,0,2,17,8,16,33,-1,-18
2022-02-12 16:58:02,27.5,35.76,-1,-1,16,-1,16,16,0,-17
2022-02-12 16:58:10,27.5,35.74,0,0,16,5,16,-57,-1,-16
2022-02-12 16:58:18,27.51,35.76,1,0,15,-3,15,88,1,-16
2022-02-12 16:58:29,27.52,35.76,0,0,15,1,15,16,1,-15
2022-02-12 16:58:38,27.52,35.76,0,0,15,3,13,-413,-2,-14
2022-02-12 16:58:46,27.5,35.77,0,0,14,5,14,-61,0,-14
2022-02-12 16:58:55,27.5,35.77,2,0,14,8,14,21,1,-14
2022-02-12 16:59:03,27.5,35.79,0,1,13,9,13,-9,0,-13
2022-02-12 16:59:11,27.49,35.8,0,-1,14,-2,14,13,0,-13
2022-02-12 16:59:19,27.48,35.84,1,-1,13,2,13,97,1,-14
2022-02-12 16:59:28,27.42,35.8,0,0,12,-5,13,11,0,-13
2022-02-12 16:59:36,27.48,35.74,-1,-1,12,-1,13,12,-3,-12
2022-02-12 16:59:44,27.47,35.71,0,1,13,-1,14,-1,-1,-12
2022-02-12 16:59:52,27.47,35.71,0,0,12,-4,13,16,0,-12
2022-02-12 17:00:01,27.46,35.73,1,1,12,6,13,-61,-2,-12
2022-02-12 17:00:09,27.46,35.75,0,-1,12,-2,12,11,0,-13
2022-02-12 17:00:17,27.46,35.73,1,0,13,0,12,17,0,-12
2022-02-12 17:00:26,27.53,35.72,0,-1,12,-6,12,56,-12,-13
2022-02-12 17:00:34,27.46,35.75,0,-2,12,1,12,14,0,-12
2022-02-12 17:00:42,27.46,35.77,1,0,12,-3,12,87,2,-12
2022-02-12 17:00:50,27.46,35.83,0,0,12,6,12,-55,-1,-11
2022-02-12 17:00:58,27.45,35.79,1,1,12,-2,12,133,1,-12
2022-02-12 17:01:07,27.45,35.81,0,1,11,-4,13,88,1,-11
2022-02-12 17:01:18,27.44,35.75,0,2,12,3,12,-219,-2,-12
2022-02-12 17:01:26,27.44,35.75,0,-1,12,3,12,40,0,-11
2022-02-12 17:01:34,27.44,35.78,0,1,12,6,11,23,0,-11
2022-02-12 17:01:42,27.44,35.78,0,0,12,1,12,126,2,-12
2022-02-12 17:01:50,27.44,35.84,0,0,12,2,12,86,1,-12
2022-02-12 17:01:58,27.42,35.81,1,1,12,4,12,-110,-1,-12
2022-02-12 17:02:07,27.43,35.82,0,-3,12,-4,12,57,-1,-12
2022-02-12 17:02:15,27.37,35.85,-3,-3,11,4,12,62,-1,-12
2022-02-12 17:02:23,27.4,35.9,0,-2,12,-2,13,102,1,-12
2022-02-12 17:02:31,27.44,35.89,-1,1,11,7,13,-24,-1,-12
2022-02-12 17:02:42,27.45,35.93,1,-2,12,-8,13,-37,-2,-12
2022-02-12 17:02:50,27.44,35.88,0,-1,14,0,15,144,1,-16
2022-02-12 17:03:01,27.45,35.88,-1,0,16,3,15,79,2,-18
2022-02-12 17:03:09,27.45,35.84,0,1,18,3,16,-40,-1,-20
2022-02-12 17:03:17,27.45,35.83,0,0,20,1,17,138,1,-20
2022-02-12 17:03:25,27.45,35.86,0,0,21,-1,18,15,-3,-21
2022-02-12 17:03:33,27.48,35.85,0,-1,21,0,17,-81,-3,-21
2022-02-12 17:03:42,27.5,35.84,1,-1,22,1,18,138,2,-20
2022-02-12 17:03:50,27.5,35.81,0,3,22,4,17,-129,-2,-21
2022-02-12 17:03:58,27.49,35.85,1,1,20,6,17,-668,-1,-20
2022-02-12 17:04:07,27.5,35.87,1,3,21,10,17,-5,0,-20
2022-02-12 17:04:15,27.5,35.82,0,1,21,3,18,91,2,-19
2022-02-12 17:04:24,27.5,35.81,1,1,22,-3,18,91,1,1
2022-02-12 17:04:32,27.51,35.79,0,0,22,3,18,-137,-1,-20
2022-02-12 17:04:41,27.36,35.84,1,1,20,2,17,-23,0,-20
2022-02-12 17:04:49,27.51,35.83,1,2,20,6,17,-21,-1,-20
2022-02-12 17:04:58,27.53,35.82,0,1,22,1,17,-288,-3,-20
2022-02-12 17:05:06,27.53,36,0,-1,20,-2,18,101,1,-19
